Time,Tt,wt,Ts,PINN_Tt,PINN_wt,PINN_Ts
0.0,23.0,8.0,18.0,23.002924,7.999417,18.060444
0.1,23.000908,8.000124,17.978237,23.003645,7.999545,18.038488
0.2,23.001795,8.000248,17.973488,23.00439,7.9996667,18.033714
0.30000000000000004,23.00267,8.000372,17.981838,23.005152,7.999789,18.04217
0.4,23.003542,8.000496,18.000246,23.005949,7.999907,18.060787
0.5,23.004417,8.00062,18.026348,23.006762,8.000023,18.08717
0.6000000000000001,23.0053,8.000744,18.058311,23.007599,8.00014,18.119473
0.7000000000000001,23.006193,8.000868,18.094715,23.008463,8.000256,18.156258
0.8,23.0071,8.000992,18.13446,23.009344,8.000372,18.196419
0.9,23.00802,8.001116,18.176697,23.010242,8.000482,18.2391
1.0,23.00896,8.00124,18.22077,23.011175,8.000598,18.283625
1.1,23.009918,8.001363,18.26617,23.012123,8.000706,18.329496
1.2000000000000002,23.010895,8.001486,18.312511,23.013092,8.00082,18.376324
1.3,23.011892,8.001609,18.35949,23.014086,8.000932,18.423784
1.4000000000000001,23.01291,8.001732,18.406876,23.015104,8.001043,18.471663
1.5,23.01395,8.001855,18.454494,23.01614,8.001155,18.519773
1.6,23.01501,8.001978,18.502209,23.017193,8.001266,18.567982
1.7000000000000002,23.016094,8.002101,18.549915,23.018274,8.00138,18.61618
1.8,23.017199,8.002224,18.597536,23.019373,8.001489,18.66429
1.9000000000000001,23.018326,8.002347,18.645012,23.020498,8.001603,18.71226
2.0,23.019476,8.00247,18.692295,23.021646,8.001714,18.760029
2.1,23.020647,8.002593,18.739353,23.022808,8.001827,18.807568
2.2,23.021841,8.002715,18.786161,23.023996,8.001935,18.85486
2.3000000000000003,23.023058,8.002837,18.832699,23.02521,8.00205,18.901876
2.4000000000000004,23.024296,8.002959,18.878954,23.026438,8.002159,18.948614
2.5,23.025557,8.003081,18.924915,23.027695,8.00227,18.995045
2.6,23.02684,8.003203,18.970575,23.028963,8.002382,19.041178
2.7,23.028145,8.003325,19.015928,23.03026,8.002495,19.08699
2.8000000000000003,23.029472,8.003448,19.060972,23.03158,8.0026045,19.132498
2.9000000000000004,23.030823,8.00357,19.105705,23.032919,8.002713,19.177692
3.0,23.032194,8.003692,19.150126,23.034275,8.00283,19.22257
3.1,23.033588,8.003814,19.194233,23.035656,8.002936,19.267126
3.2,23.035006,8.003935,19.238028,23.037058,8.003048,19.311373
3.3000000000000003,23.036444,8.004056,19.281511,23.03848,8.003161,19.355299
3.4000000000000004,23.037905,8.004177,19.324684,23.03993,8.003268,19.398912
3.5,23.039387,8.004298,19.367548,23.041399,8.003381,19.44222
3.6,23.040892,8.004419,19.410105,23.042885,8.003491,19.485209
3.7,23.042418,8.00454,19.452356,23.04439,8.003605,19.527895
3.8000000000000003,23.043966,8.004662,19.494303,23.045925,8.003714,19.570272
3.9000000000000004,23.045536,8.004783,19.535946,23.047476,8.003824,19.612335
4.0,23.047129,8.004904,19.577288,23.04905,8.003937,19.654104
4.1000000000000005,23.048742,8.005025,19.618332,23.050634,8.004047,19.695562
4.2,23.050379,8.005145,19.659077,23.052254,8.00416,19.73673
4.3,23.052036,8.005265,19.699528,23.053892,8.004269,19.777594
4.4,23.053715,8.005385,19.739685,23.055544,8.004377,19.81816
4.5,23.055416,8.005506,19.77955,23.05722,8.004492,19.858425
4.6000000000000005,23.057138,8.005626,19.819126,23.058926,8.004598,19.898409
4.7,23.058882,8.005746,19.858416,23.060637,8.004713,19.9381
4.800000000000001,23.060648,8.005866,19.897417,23.062382,8.004823,19.977497
4.9,23.062435,8.005986,19.936136,23.064138,8.004931,20.01661
5.0,23.064243,8.006106,19.974573,23.065924,8.005042,20.055437
5.1000000000000005,23.066072,8.006226,20.01273,23.067724,8.005153,20.093983
5.2,23.067923,8.006345,20.050606,23.069551,8.005261,20.132244
5.300000000000001,23.069796,8.006464,20.088207,23.071392,8.005371,20.170223
5.4,23.07169,8.006583,20.125532,23.07326,8.005483,20.207926
5.5,23.073605,8.006702,20.162584,23.07514,8.005593,20.245352
5.6000000000000005,23.07554,8.006822,20.199366,23.077047,8.005704,20.282509
5.7,23.077497,8.006941,20.235878,23.078976,8.005813,20.319387
5.800000000000001,23.079475,8.00706,20.272123,23.08092,8.005922,20.355999
5.9,23.081474,8.007179,20.308102,23.082888,8.006036,20.39234
6.0,23.083494,8.0072975,20.343815,23.084871,8.006142,20.428415
6.1000000000000005,23.085533,8.007416,20.379267,23.086878,8.006252,20.464224
6.2,23.087593,8.007534,20.414457,23.088907,8.00636,20.499763
6.300000000000001,23.089674,8.007652,20.449389,23.090948,8.006474,20.53505
6.4,23.091776,8.007771,20.484062,23.093023,8.006579,20.570074
6.5,23.093899,8.007889,20.51848,23.095106,8.00669,20.604837
6.6000000000000005,23.09604,8.008007,20.552643,23.097216,8.006798,20.639341
6.7,23.098204,8.008125,20.586554,23.09934,8.006911,20.673597
6.800000000000001,23.100388,8.008243,20.620213,23.101486,8.007018,20.707586
6.9,23.10259,8.00836,20.653624,23.103655,8.00713,20.741331
7.0,23.104815,8.008477,20.686787,23.105839,8.0072365,20.774828
7.1000000000000005,23.107058,8.0085945,20.719704,23.108044,8.007346,20.80807
7.2,23.109322,8.008712,20.752375,23.110268,8.007456,20.84107
7.300000000000001,23.111605,8.008829,20.784803,23.112513,8.007565,20.873823
7.4,23.113909,8.008946,20.81699,23.114779,8.007674,20.906324
7.5,23.116232,8.009064,20.848936,23.117064,8.007783,20.938591
7.6000000000000005,23.118576,8.009181,20.880644,23.119371,8.00789,20.970621
7.7,23.12094,8.009297,20.912115,23.12169,8.008001,21.002394
7.800000000000001,23.123322,8.009414,20.943352,23.124033,8.008109,21.033949
7.9,23.125723,8.00953,20.974354,23.126392,8.008215,21.065252
8.0,23.128145,8.009646,21.005123,23.128775,8.008326,21.09633
8.1,23.130587,8.009763,21.035662,23.131172,8.008435,21.127169
8.200000000000001,23.133047,8.009879,21.065971,23.133596,8.008547,21.157774
8.3,23.135527,8.009995,21.096052,23.136026,8.008654,21.188158
8.4,23.138025,8.010112,21.125906,23.138487,8.008762,21.21831
8.5,23.140543,8.010227,21.155535,23.140959,8.008866,21.248222
8.6,23.14308,8.010343,21.18494,23.143446,8.008977,21.27792
8.700000000000001,23.145636,8.010458,21.214123,23.145966,8.009086,21.307386
8.8,23.14821,8.010573,21.243084,23.1485,8.009191,21.33663
8.9,23.150805,8.010689,21.271824,23.151045,8.009297,21.365652
9.0,23.153416,8.010804,21.300346,23.153612,8.009409,21.394453
9.1,23.156046,8.01092,21.328651,23.156195,8.009517,21.42304
9.200000000000001,23.158695,8.011035,21.356739,23.158804,8.009625,21.451399
9.3,23.161364,8.011149,21.384613,23.161425,8.009735,21.479544
9.4,23.16405,8.011264,21.412273,23.164068,8.00984,21.507471
9.5,23.166754,8.011378,21.439722,23.166723,8.009949,21.535189
9.600000000000001,23.169476,8.011493,21.466959,23.1694,8.010056,21.562687
9.700000000000001,23.172216,8.011607,21.493986,23.172098,8.0101595,21.58998
9.8,23.174974,8.011722,21.520805,23.174803,8.010271,21.617052
9.9,23.177752,8.011836,21.547419,23.177538,8.010377,21.643927
