Time (s),MPC fa_dot,MPC fw_dot,MPC u3
0.0,3.88421571364085,0.0030000099997539004,-1.0009999763555263e-05
0.5,4.138606922825296,0.0030000099997702367,-1.0009999752630378e-05
1.0,4.149711117058957,0.0030000099997104074,-1.0009999682753751e-05
1.5,4.158759914218089,0.003000009999645207,-1.0009999606537008e-05
2.0,4.169021526504107,0.0030000099995741,-1.0009999521345951e-05
2.5,4.179623040266329,0.003000009999496814,-1.0009999426127674e-05
3.0,4.189862716876828,0.0030000099994135112,-1.0009999320047492e-05
3.5,4.200017673787046,0.0030000099997542955,-1.0009999710094758e-05
4.0,4.2106480695207855,0.003000009999223035,-1.0009999065084668e-05
4.5,4.2208836875812885,0.0030000099996816566,-1.0009999608775794e-05
5.0,4.230428260950218,0.0030000099990270513,-1.0009998773906642e-05
5.5,4.239665852471273,0.0030000099989001337,-1.000999857395475e-05
6.0,4.250600433765675,0.003000009998753828,-1.0009998329911283e-05
6.5,4.26173133661106,0.003000009998588723,-1.0009998045172132e-05
7.0,4.272331168671732,0.0030000099984431264,-1.0009997747566728e-05
7.5,4.283245746068398,0.003000009998235746,-1.0009997309568871e-05
8.0,4.292198817608091,0.003000009998013048,-1.000999680758236e-05
8.5,4.302988246383584,0.0030000099991984277,-1.0009998608864439e-05
9.0,4.313536093519831,0.0030000099974837827,-1.000999526101013e-05
9.5,4.324734282369135,0.0030000099971689296,-1.0009993928397141e-05
10.0,4.33544252748207,0.0030000099967398587,-1.0009991906079605e-05
10.5,4.345909132894216,0.003000009996291888,-1.0009988738888117e-05
11.0,4.356197840900419,0.003000009995746672,-1.0009981980803673e-05
11.5,4.365862977774274,0.003000009995083863,-1.0009959971747832e-05
12.0,4.377576061966017,0.0030000099941888056,7.326823820176121e-06
12.5,4.389069382129317,0.003000009993036663,1.0009959906222512e-05
13.0,4.402358485272023,0.003000009991431401,1.0009980452101133e-05
13.5,4.414272323930852,0.003000009989302988,1.0009986581804867e-05
14.0,4.427492076242246,0.0030000099858435423,1.0009989672382857e-05
14.5,4.439975557903613,0.0030000099804505095,1.0009991294734792e-05
15.0,4.45344637274255,0.0030000099703645475,1.000999228792108e-05
15.5,4.466041999881129,0.003000009949053952,1.000999286467732e-05
16.0,4.437610336514404,0.0029731869277669558,1.0009993225601625e-05
16.5,3.91971783182162,0.0026201693203434986,1.000999347133869e-05
17.0,3.17837888660737,0.0021200908511291696,1.0009993615035182e-05
17.5,2.468194387121654,0.0016448999345577149,1.0009993676037236e-05
18.0,1.8538818707707607,0.0012347246547358803,1.0009997717489962e-05
18.5,1.3653373471823376,0.00018251755470022468,1.0009997723944736e-05
19.0,1.0027920260870504,0.00011081243327718144,1.0009993735339405e-05
19.5,0.7254120993211725,4.999131659668759e-05,1.0009993748455575e-05
20.0,0.5032897155930617,4.9990996653804226e-05,1.0009993756837337e-05
20.5,0.3242551362705241,4.999048106374977e-05,1.0009997736682331e-05
21.0,0.20175212359374672,4.999314407041092e-05,1.000999376108223e-05
21.5,0.10140269620945579,4.9996584440917964e-05,1.0009993764422764e-05
22.0,0.06250912031518813,5.003045890863163e-05,1.0009993765435507e-05
22.5,0.07921061900319945,0.0008058730052891817,1.0009993764058784e-05
23.0,0.1398939048238139,0.00019827621718613894,1.0009993761730997e-05
23.5,0.22185742082738863,0.00014892327474897032,1.0009993760710585e-05
24.0,0.26444804095253455,0.00017757397189133845,1.0009993761626849e-05
24.5,0.2962990376341389,0.00019908114458484143,1.0009993761575022e-05
25.0,0.3140165441350343,0.00021107150187850827,1.0009993763149563e-05
25.5,0.3731597165589858,0.0002510368318037376,1.0009993759765125e-05
26.0,0.4453424108709132,0.0002997623072224323,1.0009993757598824e-05
26.5,0.5378534907389522,0.00036227350374235954,1.0009993753515172e-05
27.0,0.611759199422788,0.00041219227240926596,1.000999375116949e-05
27.5,0.7059310617570973,0.00047593984914214406,1.0009993747272366e-05
28.0,0.7829535601311116,0.0005280020203859524,1.0009993744607409e-05
28.5,0.8665041051122093,0.0005845853964423773,1.0009993740613376e-05
29.0,0.9084933458274665,0.0006128719998882912,1.0009997729783564e-05
29.5,0.9583135243255005,0.0006466342526907909,1.0009993738527503e-05
30.0,1.0402911995159234,0.0007022099981015755,1.000999373252262e-05
30.5,1.121502028001393,0.0007571047870198553,1.0009993727333471e-05
31.0,1.155598967646851,0.000779879517299403,1.0009993729561776e-05
31.5,1.1691332501848617,0.0007888474390951387,1.0009997725786706e-05
32.0,1.2004544397704362,0.0008099497101370773,1.0009993726640244e-05
32.5,1.2708149899327041,0.000857523209377063,1.0009993718534929e-05
33.0,1.3014552512590984,0.0008777381968868086,1.0009993719884997e-05
33.5,1.321811508102671,0.0008911632348942402,1.0009993719334453e-05
34.0,1.4029622340342576,0.0009460264023838666,1.000999370778627e-05
34.5,1.4453843569305527,0.0009739990676786765,1.0009993707368283e-05
35.0,1.501726398467479,0.0010117192621769526,1.0009993702089753e-05
35.5,1.6036089681844508,0.0010803169141977032,1.0009993688562187e-05
36.0,1.661139711133491,0.0011182304629481282,1.0009993688328353e-05
36.5,1.750635030677593,0.001178252569081523,1.0009993676247464e-05
37.0,1.806277925549124,0.0012147580236512572,1.0009993675790122e-05
37.5,1.864165384269033,0.0012529930815234878,1.0009993669171758e-05
38.0,1.9175865267277468,0.0012880166064938013,1.0009993664005075e-05
38.5,2.014071113260893,0.001352349453028008,1.0009993646737168e-05
39.0,2.0632005892555316,0.0013838869714385188,1.0009997695719804e-05
39.5,2.0996922496839665,0.0014071294807621844,1.0009993645760899e-05
40.0,2.1238380930245566,0.0014219077342437394,1.0009993642347539e-05
40.5,2.1523853858642648,0.0014396862486015587,1.0009993636743376e-05
41.0,2.177146297850334,0.001454734559239301,1.0009997690137938e-05
41.5,2.212399924690312,0.0014768546180966083,1.0009993624998747e-05
42.0,2.2806129078209536,0.0015211346151240653,1.0009993610215491e-05
42.5,2.3977074981367092,0.0015981683864553426,1.0009997672814126e-05
43.0,2.4861104315022966,0.0016551381009520024,1.0009993577145089e-05
43.5,2.5320675080795625,0.0016834447212792562,1.0009993577682523e-05
44.0,2.6100188179251047,0.0017336368507194562,1.0009997662906756e-05
44.5,2.694901377522533,0.0017879939581743251,1.0009997656942434e-05
45.0,2.8051869103955056,0.0018593102790045038,1.0009993516854005e-05
45.5,2.8907162252048972,0.0019134140657244185,1.0009993508372205e-05
46.0,2.951028388427719,0.0019505270028334302,1.0009993500044565e-05
46.5,2.9773468037286763,0.0019647477531936743,1.0009997641936722e-05
47.0,2.984298564500548,0.001966118054922845,1.0009993498750677e-05
47.5,3.0195177842818897,0.0019865839023101334,1.000999347986776e-05
48.0,3.06974743670667,0.0020167086339644156,1.0009993463126313e-05
48.5,3.162203828583571,0.0020749148597394855,1.0009993429824834e-05
49.0,3.2154420399966988,0.0021060901359413703,1.0009997615570084e-05
49.5,3.297287215439494,0.0021567662118481667,1.0009993396964484e-05
50.0,3.356800323626266,0.0021918762833317085,1.000999338604421e-05
50.5,3.4369827562125623,0.0022409242324484394,1.000999335736012e-05
51.0,3.5258919545744165,0.0022953087978398166,1.0009993329046198e-05
51.5,3.5651975363203787,0.002316230103099974,1.000999332984346e-05
52.0,3.5763720684360405,0.002318865531806421,1.0009993327380567e-05
52.5,3.5946875526390625,0.00232646533696183,1.0009993310736706e-05
53.0,3.6433951982625334,0.0023540333439881988,1.0009993277462504e-05
53.5,3.6856731372613125,0.002376798617093925,1.000999326093142e-05
54.0,3.7444459130037533,0.0024104448918545315,1.0009993228080834e-05
54.5,3.809438723171951,0.0024478002046743603,1.0009993197541722e-05
55.0,3.8878248402083515,0.0024937369211621013,1.0009997518467147e-05
55.5,3.9754314255226055,0.0025453413333960365,1.0009993118209475e-05
56.0,4.05585458799745,0.002591861209231252,1.0009993083695801e-05
56.5,4.074767758848255,0.0025978142312681695,1.0009993091973494e-05
57.0,4.076013354684865,0.002592881599844688,1.0009993082890376e-05
57.5,4.102511797658061,0.0026046016219128474,1.0009993040904871e-05
58.0,4.118780599210575,0.0026091944450979377,1.0009993020788243e-05
58.5,4.170339790406241,0.0026368763095393744,1.0009992963191516e-05
59.0,4.188568428640874,0.0026422394605482113,1.0009992954537902e-05
59.5,4.192518249236722,0.0026387223050870928,1.0009992935957667e-05
60.0,4.247990988086234,0.0026687253717906966,1.0009992857955014e-05
60.5,4.2852211783726295,0.002686073147997139,1.000999282861841e-05
61.0,4.355144834053795,0.0027247409665691006,1.0009997370254922e-05
61.5,4.392813422729093,0.0027419247960670844,1.000999736075221e-05
62.0,4.4060664494696065,0.0027437578576933815,1.0009997352697097e-05
62.5,4.411596748967223,0.0027409077585535376,1.0009997340507252e-05
63.0,4.40165837125585,0.002728211919578807,1.0009997331540443e-05
63.5,4.38831172427777,0.002713585021039353,1.0009997319470063e-05
64.0,4.425614615492277,0.002731369975557777,1.0009992507177444e-05
64.5,4.490186419540401,0.0027657270575630875,1.0009992401663778e-05
65.0,4.524240572368093,0.0027801597950476735,1.0009992356309946e-05
65.5,4.554131835213324,0.0027923405280805614,1.0009992284633803e-05
66.0,4.601062985141836,0.0028153064685411816,1.0009992177504233e-05
66.5,4.602782547905576,0.0028093189829919984,1.0009992155807046e-05
67.0,4.600979457276822,0.0028018172763956124,1.000999208612581e-05
67.5,4.623677444602019,0.0028097969475399894,1.0009997082182265e-05
68.0,4.652735777523871,0.0028213801858351295,1.000999183768997e-05
68.5,4.665802096643338,0.002822822692170892,1.0009991745735069e-05
69.0,4.653876834243148,0.0028088835774119332,1.0009991682356953e-05
69.5,4.641467530122701,0.002795073292717969,1.0009991570539463e-05
70.0,4.644038452198423,0.0027906625854303016,1.000999140598103e-05
70.5,4.630137352783432,0.0027758475460116887,1.0009991295152355e-05
71.0,4.594864293275484,0.002748130051989403,1.000999119897714e-05
71.5,4.5861588693664865,0.0027373014796529932,1.0009990969041011e-05
72.0,4.55055475594967,0.002709558129039896,1.00099908496306e-05
72.5,4.538250080909017,0.0026967296586366527,1.000999657707456e-05
73.0,4.532463444615928,0.002687655667633054,1.000999027020504e-05
73.5,4.53038828104848,0.0026808808550728295,1.0009989930739829e-05
74.0,4.535163049831796,0.002678336125912595,1.0009996191065776e-05
74.5,4.5143088021061715,0.0026600997592733607,1.0009996061390966e-05
75.0,4.488714166431701,0.0026394912820040086,1.0009995877324996e-05
75.5,4.453067615267281,0.0026129671151864015,1.0009988054343867e-05
76.0,4.449726614827628,0.002606361836137919,1.0009986910053871e-05
76.5,4.431553289115737,0.002590397362012608,1.0009985788511925e-05
77.0,4.409109078745321,0.0025722243673499314,1.0009984086524472e-05
77.5,4.373015472256693,0.0025460141802753715,1.0009981748603052e-05
78.0,4.330947470066081,0.0025165787281131746,1.000997768474017e-05
78.5,4.278678666444676,0.0024812855220065167,1.0009968825191593e-05
79.0,4.231277385321329,0.002449265081622652,1.0009976019093802e-05
79.5,4.203489768619041,0.0024291763468656585,7.97030044850497e-06
80.0,4.159966479092826,0.0023999279017201313,5.134615522027632e-07
80.5,4.107537382086381,0.00236594437937605,2.3823962745286277e-07
81.0,4.026183838942922,0.002315035622069987,1.0484282024493453e-06
81.5,3.9673624468883717,0.0022781969443672334,-1.1115877351760208e-06
82.0,3.926162516968661,0.002251722414491983,-1.3821707763595462e-06
82.5,3.900863692867912,0.002234629858387692,-1.752585451329603e-06
83.0,3.8542964080323534,0.0022048713815715757,-4.801013591091593e-07
83.5,3.847726707213719,0.0021992648172367373,-3.3178448228042912e-06
84.0,3.8278013337864567,0.0021853430258638846,-1.5735157731642916e-06
84.5,3.827624912538974,0.0021834264285637696,-3.077110242194811e-06
85.0,3.7970675086888206,0.0021634264157617093,-1.1355487367012435e-06
85.5,3.775230265238299,0.002149134562749,-2.710456117347793e-06
86.0,3.7527966392545338,0.0021345075013193505,-2.54261707696241e-06
86.5,3.7324911440918718,0.0021212857054656183,-2.85571010902962e-06
87.0,3.6368577091267427,0.0020639205617373198,5.275285548728151e-07
87.5,3.5288131114749044,0.0020004985703927967,-1.444034226932294e-06
88.0,3.395199841025255,0.0019224772723439385,-7.378394649642792e-07
88.5,3.2471411309309812,0.0018366100239806146,-1.344120411298342e-06
89.0,3.1306645475820742,0.0017695742870254146,-3.4376585467710536e-06
89.5,3.063485970558902,0.0017310458724309522,-5.117281591784337e-06
90.0,3.0142797309866975,0.0017025617104649842,-4.515811216612706e-06
90.5,2.921458257649152,0.0016486931918830152,-1.9028611388274331e-06
91.0,2.8271346715909336,0.0015946201233613692,-3.634951992962554e-06
91.5,2.7136020422395903,0.0015295585643855783,-2.729516290374563e-06
92.0,2.640603332890765,0.001488308138519512,-5.795377301901896e-06
92.5,2.5718862293803157,0.0014492106228642075,-4.8039681803357015e-06
93.0,2.4667629836136897,0.0013891802884665701,-2.9764692035113237e-06
93.5,2.346636557291451,0.001320985282861486,-3.390252653752479e-06
94.0,2.217632341468519,0.0012479233340171093,-3.787334327329508e-06
94.5,2.1172976727117705,0.0011915393904415605,-5.630123924748128e-06
95.0,2.071387159205454,0.0011662578584253935,-7.975626866091852e-06
95.5,2.044049117882579,0.0011512643305922458,-7.183305076766458e-06
96.0,2.004041655206799,0.0011289261267981362,-5.919323088051105e-06
96.5,1.9256743147240059,0.0010847106151602366,-4.35095994585853e-06
97.0,1.8174034508366255,0.0010236767472338799,-3.8711766676281025e-06
97.5,1.75086936149599,0.0009868551059351509,-7.796369198336236e-06
98.0,1.6412677030533618,0.0009249960224505644,-3.547521517608386e-06
98.5,1.5240179985833584,0.0008591372137212674,-5.0712268016158e-06
99.0,1.4449021796412849,0.0008151575455686901,-7.811118171511093e-06
99.5,1.345432548225723,0.000759257545027803,-5.739118434432217e-06
100.0,1.2352333365192092,0.0006973712983165564,-6.2527108230184995e-06
100.5,1.1382033881763354,0.0006430504564879545,-7.55209753295005e-06
101.0,1.059587210573875,0.0005991452768891603,-8.219575492070218e-06
101.5,1.0162018133454942,0.0005752743249819747,-9.326262504683335e-06
102.0,0.9785584778129712,0.0005545129631791285,-8.860303511001662e-06
102.5,0.8909697772856031,0.0005051307107068144,-7.248687240499846e-06
103.0,0.8372164021403589,0.00047530945421528424,-9.65646253679693e-06
103.5,0.766886268189743,0.00043576295543803985,-8.711115030580847e-06
104.0,0.6790655980220092,0.0003862249789347766,-8.744101871954526e-06
104.5,0.5713644115757034,0.00032526609970310336,-9.003728870034354e-06
105.0,0.45052731297537846,0.0002567266522398453,-9.416170585835375e-06
105.5,0.3626240419571088,0.0002069544258903525,-1.0004948100566612e-05
106.0,0.31986231424961503,0.0001828479683296824,-1.0005455339384243e-05
106.5,0.2723851705846092,0.00015590766493228197,-1.0006842228057707e-05
107.0,0.1987860721427069,4.999013099348329e-05,-1.0009017387994085e-05
107.5,0.14962917181804314,4.999037628543098e-05,-1.0008178157184206e-05
108.0,0.10118793585028259,4.999019177537326e-05,-1.0008624858931834e-05
108.5,0.05502066205888201,4.9990064217141e-05,-1.0008917892862507e-05
109.0,0.0345717718872706,4.999004038532087e-05,-1.0009120496153957e-05
109.5,0.04157687715669001,4.999001248413924e-05,-1.0009730146610174e-05
110.0,0.06130892481200344,4.999000841031528e-05,-1.0009757724883686e-05
110.5,0.08391855942566605,4.999001937571901e-05,-1.0009415233469233e-05
111.0,0.08620780052667609,4.999001620308385e-05,-1.0009479946854024e-05
111.5,0.0860547335235711,4.9990005218055955e-05,-1.0009844354201297e-05
112.0,0.08595754329466607,4.9990011520065115e-05,-1.0009636899248026e-05
112.5,0.08584116929232238,4.999000960167213e-05,-1.0009689183968697e-05
