Time,Tt,wt,Ts,PINN_Tt,PINN_wt,PINN_Ts
0.0,23.0,8.0,18.0,23.065004,8.000107,18.065166
0.1,23.000908,8.000124,17.978237,23.065851,8.000229,18.043213
0.2,23.001795,8.000248,17.973488,23.06673,8.000353,18.038448
0.30000000000000004,23.00267,8.000372,17.981838,23.067638,8.00047,18.046917
0.4,23.003542,8.000496,18.000246,23.068583,8.000589,18.06555
0.5,23.004417,8.00062,18.026348,23.069561,8.000708,18.091948
0.6000000000000001,23.0053,8.000744,18.058311,23.070559,8.000821,18.124271
0.7000000000000001,23.006193,8.000868,18.094715,23.071587,8.000941,18.161083
0.8,23.0071,8.000992,18.13446,23.072628,8.001052,18.201263
0.9,23.00802,8.001116,18.176697,23.073692,8.001167,18.243967
1.0,23.00896,8.00124,18.22077,23.07478,8.00128,18.28852
1.1,23.009918,8.001363,18.26617,23.075882,8.001391,18.33442
1.2000000000000002,23.010895,8.001486,18.312511,23.077002,8.001508,18.381264
1.3,23.011892,8.001609,18.35949,23.07814,8.001621,18.42875
1.4000000000000001,23.01291,8.001732,18.406876,23.079298,8.001731,18.476648
1.5,23.01395,8.001855,18.454494,23.080467,8.001848,18.524786
1.6,23.01501,8.001978,18.502209,23.081657,8.001956,18.573015
1.7000000000000002,23.016094,8.002101,18.549915,23.08286,8.002073,18.621239
1.8,23.017199,8.002224,18.597536,23.084084,8.002186,18.669374
1.9000000000000001,23.018326,8.002347,18.645012,23.085325,8.002297,18.717361
2.0,23.019476,8.00247,18.692295,23.086582,8.002411,18.765156
2.1,23.020647,8.002593,18.739353,23.087856,8.002525,18.812721
2.2,23.021841,8.002715,18.786161,23.089146,8.002638,18.860033
2.3000000000000003,23.023058,8.002837,18.832699,23.090448,8.00275,18.90707
2.4000000000000004,23.024296,8.002959,18.878954,23.091778,8.002863,18.95382
2.5,23.025557,8.003081,18.924915,23.09312,8.002975,19.000277
2.6,23.02684,8.003203,18.970575,23.094477,8.003087,19.046429
2.7,23.028145,8.003325,19.015928,23.09586,8.003202,19.092264
2.8000000000000003,23.029472,8.003448,19.060972,23.097248,8.003314,19.137793
2.9000000000000004,23.030823,8.00357,19.105705,23.098667,8.0034275,19.183006
3.0,23.032194,8.003692,19.150126,23.100094,8.003544,19.227905
3.1,23.033588,8.003814,19.194233,23.101536,8.0036545,19.272482
3.2,23.035006,8.003935,19.238028,23.102999,8.003771,19.316744
3.3000000000000003,23.036444,8.004056,19.281511,23.104485,8.003882,19.360695
3.4000000000000004,23.037905,8.004177,19.324684,23.105982,8.003995,19.404327
3.5,23.039387,8.004298,19.367548,23.107502,8.004107,19.447645
3.6,23.040892,8.004419,19.410105,23.109035,8.004221,19.490664
3.7,23.042418,8.00454,19.452356,23.11059,8.004334,19.53336
3.8000000000000003,23.043966,8.004662,19.494303,23.112164,8.004448,19.575752
3.9000000000000004,23.045536,8.004783,19.535946,23.113758,8.0045595,19.61784
4.0,23.047129,8.004904,19.577288,23.11536,8.004673,19.65962
4.1000000000000005,23.048742,8.005025,19.618332,23.116985,8.004787,19.7011
4.2,23.050379,8.005145,19.659077,23.118626,8.004899,19.742275
4.3,23.052036,8.005265,19.699528,23.120296,8.0050125,19.783155
4.4,23.053715,8.005385,19.739685,23.121971,8.005127,19.82374
4.5,23.055416,8.005506,19.77955,23.123665,8.005237,19.864029
4.6000000000000005,23.057138,8.005626,19.819126,23.12538,8.005352,19.904018
4.7,23.058882,8.005746,19.858416,23.12712,8.005465,19.943724
4.800000000000001,23.060648,8.005866,19.897417,23.128872,8.005578,19.983139
4.9,23.062435,8.005986,19.936136,23.130638,8.005689,20.02227
5.0,23.064243,8.006106,19.974573,23.132431,8.005806,20.061108
5.1000000000000005,23.066072,8.006226,20.01273,23.13424,8.0059185,20.099667
5.2,23.067923,8.006345,20.050606,23.136063,8.006031,20.137947
5.300000000000001,23.069796,8.006464,20.088207,23.137903,8.006145,20.175943
5.4,23.07169,8.006583,20.125532,23.139772,8.006256,20.213661
5.5,23.073605,8.006702,20.162584,23.141645,8.006371,20.251099
5.6000000000000005,23.07554,8.006822,20.199366,23.143545,8.006482,20.288261
5.7,23.077497,8.006941,20.235878,23.145464,8.006594,20.325161
5.800000000000001,23.079475,8.00706,20.272123,23.147404,8.006708,20.361786
5.9,23.081474,8.007179,20.308102,23.14935,8.006823,20.398144
6.0,23.083494,8.0072975,20.343815,23.151321,8.006932,20.434225
6.1000000000000005,23.085533,8.007416,20.379267,23.153315,8.007048,20.47005
6.2,23.087593,8.007534,20.414457,23.155321,8.00716,20.505608
6.300000000000001,23.089674,8.007652,20.449389,23.157349,8.007271,20.540903
6.4,23.091776,8.007771,20.484062,23.15939,8.007384,20.57594
6.5,23.093899,8.007889,20.51848,23.161453,8.007497,20.610714
6.6000000000000005,23.09604,8.008007,20.552643,23.163534,8.00761,20.645233
6.7,23.098204,8.008125,20.586554,23.16563,8.007723,20.679493
6.800000000000001,23.100388,8.008243,20.620213,23.167751,8.007835,20.713507
6.9,23.10259,8.00836,20.653624,23.16988,8.007948,20.747261
7.0,23.104815,8.008477,20.686787,23.172039,8.0080595,20.780766
7.1000000000000005,23.107058,8.0085945,20.719704,23.174202,8.008173,20.81402
7.2,23.109322,8.008712,20.752375,23.1764,8.008285,20.847033
7.300000000000001,23.111605,8.008829,20.784803,23.178596,8.008396,20.879795
7.4,23.113909,8.008946,20.81699,23.180822,8.008511,20.91231
7.5,23.116232,8.009064,20.848936,23.183065,8.008623,20.94459
7.6000000000000005,23.118576,8.009181,20.880644,23.185333,8.008732,20.976624
7.7,23.12094,8.009297,20.912115,23.187607,8.008847,21.008415
7.800000000000001,23.123322,8.009414,20.943352,23.189901,8.008958,21.039974
7.9,23.125723,8.00953,20.974354,23.192215,8.009073,21.071293
8.0,23.128145,8.009646,21.005123,23.19455,8.009184,21.102377
8.1,23.130587,8.009763,21.035662,23.196896,8.009296,21.133226
8.200000000000001,23.133047,8.009879,21.065971,23.199265,8.009408,21.163845
8.3,23.135527,8.009995,21.096052,23.201649,8.00952,21.19423
8.4,23.138025,8.010112,21.125906,23.204054,8.009635,21.224392
8.5,23.140543,8.010227,21.155535,23.20647,8.009746,21.254322
8.6,23.14308,8.010343,21.18494,23.208904,8.009856,21.284023
8.700000000000001,23.145636,8.010458,21.214123,23.21136,8.009968,21.313503
8.8,23.14821,8.010573,21.243084,23.213837,8.010078,21.342758
8.9,23.150805,8.010689,21.271824,23.216328,8.010193,21.371788
9.0,23.153416,8.010804,21.300346,23.21883,8.010305,21.4006
9.1,23.156046,8.01092,21.328651,23.221352,8.010415,21.42919
9.200000000000001,23.158695,8.011035,21.356739,23.223888,8.010528,21.457561
9.3,23.161364,8.011149,21.384613,23.22645,8.010638,21.48571
9.4,23.16405,8.011264,21.412273,23.229023,8.010752,21.513653
9.5,23.166754,8.011378,21.439722,23.231619,8.010862,21.541378
9.600000000000001,23.169476,8.011493,21.466959,23.234224,8.010973,21.56889
9.700000000000001,23.172216,8.011607,21.493986,23.23685,8.011083,21.596182
9.8,23.174974,8.011722,21.520805,23.239498,8.011194,21.62327
9.9,23.177752,8.011836,21.547419,23.242153,8.011309,21.65015
10.0,23.180546,8.0119505,21.573826,23.244827,8.011418,21.676817
10.100000000000001,23.183357,8.012064,21.600027,23.247522,8.01153,21.703281
10.200000000000001,23.186186,8.012177,21.626024,23.250229,8.01164,21.729534
10.3,23.189034,8.012291,21.65182,23.252956,8.01175,21.755585
10.4,23.191898,8.012404,21.677414,23.2557,8.011863,21.781433
10.5,23.19478,8.012518,21.702808,23.25845,8.011973,21.80708
10.600000000000001,23.19768,8.012631,21.728004,23.26123,8.012084,21.832525
10.700000000000001,23.200596,8.012745,21.753002,23.264023,8.012197,21.857765
10.8,23.20353,8.012858,21.777803,23.26683,8.012308,21.882812
10.9,23.20648,8.012971,21.802408,23.269657,8.012418,21.907658
11.0,23.209448,8.013083,21.826818,23.272491,8.012527,21.932304
11.100000000000001,23.212431,8.013196,21.851036,23.275345,8.012638,21.95676
11.200000000000001,23.215431,8.013309,21.875061,23.278214,8.01275,21.981022
11.3,23.218449,8.013421,21.898893,23.281097,8.012859,22.005081
11.4,23.221483,8.013534,21.922537,23.283998,8.012968,22.028957
11.5,23.224533,8.013646,21.94599,23.286913,8.0130825,22.052639
11.600000000000001,23.2276,8.013758,21.969255,23.289852,8.01319,22.076126
11.700000000000001,23.230682,8.013869,21.992334,23.292793,8.013299,22.099428
11.8,23.233782,8.013981,22.015226,23.295755,8.013412,22.122543
11.9,23.236897,8.014092,22.037933,23.298729,8.013524,22.145466
12.0,23.240026,8.014204,22.060455,23.301727,8.013629,22.168203
12.100000000000001,23.243174,8.014316,22.082794,23.304737,8.013741,22.190754
12.200000000000001,23.246336,8.014427,22.104952,23.307762,8.013851,22.213123
12.3,23.249514,8.014539,22.126926,23.310799,8.013962,22.23531
12.4,23.252707,8.014649,22.148722,23.313848,8.01407,22.257309
12.5,23.255915,8.01476,22.170338,23.316914,8.014181,22.27913
12.600000000000001,23.259138,8.014871,22.191774,23.320004,8.014292,22.300772
12.700000000000001,23.262377,8.014981,22.213034,23.323095,8.014398,22.322235
12.8,23.26563,8.015092,22.234116,23.326204,8.014508,22.34351
