Time,Tt_actual,wt_actual,Ts_actual,fa_dot,fw_dot,u3,Tt_ref,wt_ref,Ts_ref
0.0,24.0,8.0,18.0,0.0,0.0,0.0,24.0,8.0,15.0
0.01,24.000116,8.000023,17.947187,2.0,0.001,0.002,23.999600000016667,8.000199999997916,15.0
0.02,24.00023,8.000046,17.895422,2.0,0.001,0.002,23.99920000013333,8.000399999983333,15.0
0.03,24.000341,8.000069,17.844685,2.0,0.001,0.002,23.99880000045,8.00059999994375,15.0
0.04,24.00045,8.000092,17.794952,2.0,0.001,0.002,23.998400001066667,8.000799999866667,15.0
0.05,24.000557,8.000114,17.746206,2.0,0.001,0.002,23.998000002083334,8.000999999739584,15.0
0.06,24.00066,8.000137,17.698427,2.0,0.001,0.002,23.9976000036,8.00119999955,15.0
0.07,24.000761,8.00016,17.651594,2.0,0.001,0.002,23.997200005716664,8.001399999285416,15.0
0.08,24.00086,8.000183,17.60569,2.0,0.001,0.002,23.996800008533327,8.001599998933333,15.0
0.09,24.000957,8.000206,17.560696,2.0,0.001,0.002,23.996400012149987,8.00179999848125,15.0
0.1,24.001053,8.000229,17.516594,2.0,0.001,0.002,23.996000016666645,8.001999997916668,15.0
0.11,24.001144,8.000252,17.473368,2.0,0.001,0.002,23.9956000221833,8.002199997227084,15.0
0.12,24.001234,8.000275,17.430998,2.0,0.001,0.002,23.99520002879995,8.002399996400001,15.0
0.13,24.001322,8.000298,17.389467,2.0,0.001,0.002,23.99480003661659,8.00259999542292,15.0
0.14,24.001408,8.00032,17.34876,2.0,0.001,0.002,23.994400045733222,8.002799994283336,15.0
0.15,24.001492,8.000343,17.30886,2.0,0.001,0.002,23.994000056249842,8.002999992968755,15.0
0.16,24.001574,8.000366,17.269753,2.0,0.001,0.002,23.99360006826645,8.003199991466673,15.0
0.17,24.001654,8.000389,17.231419,2.0,0.001,0.002,23.99320008188304,8.003399989764592,15.0
0.18,24.001732,8.000412,17.193846,2.0,0.001,0.002,23.992800097199606,8.003599987850013,15.0
0.19,24.001808,8.000435,17.157017,2.0,0.001,0.002,23.99240011431615,8.003799985710433,15.0
0.2,24.001883,8.000458,17.120918,2.0,0.001,0.002,23.992000133332667,8.003999983333355,15.0
0.21,24.001955,8.000481,17.085535,2.0,0.001,0.002,23.99160015434915,8.004199980706277,15.0
0.22,24.002026,8.000504,17.050854,2.0,0.001,0.002,23.991200177465593,8.0043999778167,15.0
0.23,24.002094,8.000525,17.016861,2.0,0.001,0.002,23.990800202781994,8.004599974652125,15.0
0.24,24.002161,8.000547,16.983541,2.0,0.001,0.002,23.99040023039834,8.004799971200052,15.0
