Time,Tt_actual,wt_actual,Ts_actual,fa_dot,fw_dot,u3,Tt_ref,wt_ref,Ts_ref
0.0,24.0,8.0,18.0,0.0,0.0,0.0,24.323220255890988,8.71518936637242,15.0
0.01,24.000116,8.000023,17.947187,2.0,0.001,0.002,24.323220255890988,8.71518936637242,15.0
0.02,24.00023,8.000046,17.895422,2.0,0.001,0.002,24.323220255890988,8.71518936637242,15.0
0.03,24.000341,8.000069,17.844685,2.0,0.001,0.002,24.323220255890988,8.71518936637242,15.0
0.04,24.00045,8.000092,17.794952,2.0,0.001,0.002,24.323220255890988,8.71518936637242,15.0
0.05,24.00085,8.000594,17.165806,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.06,24.001251,8.001097,16.537287,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.07,24.00165,8.001599,15.909397,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.08,24.002047,8.002102,15.282135,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.09,24.002441,8.0026045,14.655499,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.1,24.002834,8.003107,14.02949,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.11,24.003225,8.00361,13.404107,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.12,24.003616,8.004112,12.779348,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.13,24.004005,8.004615,12.155214,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.14,24.004393,8.005117,11.531704,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.15,24.004778,8.00562,10.908817,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.16,24.005161,8.006123,10.286552,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.17,24.005545,8.006625,9.664909,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.18,24.005926,8.007128,9.043888,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.19,24.006306,8.00763,8.423488,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.2,24.006683,8.008133,7.803707,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.21,24.00706,8.0086355,7.184546,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.22,24.007435,8.009138,6.566004,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.23,24.007809,8.009641,5.94808,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.24,24.00818,8.010143,5.330774,0.1,0.003,0.05,24.323220255890988,8.71518936637242,15.0
0.25,24.008192,8.010646,4.971726,0.86214435,0.002533381,0.05,24.323220255890988,8.71518936637242,15.0
0.26,24.008196,8.011148,4.6157575,0.86214435,0.002533381,0.05,24.323220255890988,8.71518936637242,15.0
0.27,24.008192,8.011651,4.262842,0.86214435,0.002533381,0.05,24.323220255890988,8.71518936637242,15.0
0.28,24.00818,8.012154,3.9129539,0.86214435,0.002533381,0.05,24.323220255890988,8.71518936637242,15.0
0.29,24.008162,8.012656,3.5660665,0.86214435,0.002533381,0.05,24.323220255890988,8.71518936637242,15.0
0.3,24.007416,8.013158,3.7236936,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.31,24.00668,8.0136595,3.8777359,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.32,24.005953,8.014161,4.028274,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.33,24.005234,8.014663,4.1753883,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.34,24.004524,8.015164,4.3191557,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.35000000000000003,24.003822,8.015666,4.459652,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.36,24.003128,8.016168,4.5969515,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.37,24.002441,8.016669,4.731127,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.38,24.001762,8.017171,4.8622484,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.39,24.001091,8.017673,4.990386,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.4,24.000427,8.018174,5.115607,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.41000000000000003,23.999771,8.018676,5.237977,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
0.42,23.999123,8.019177,5.357561,2.2880418,0.0016603825,0.05,24.323220255890988,8.71518936637242,15.0
