Time (s),MPC Tt,MPC wt,MPC Ts,Reference Tt,Reference wt
0.0,25.964269626273794,0.007994903916745667,12.029603699957837,23.0,0.008
0.5,25.909426172728015,0.00798979860703226,12.00742942926365,23.0,0.008
1.0,25.860342681931865,0.007984707480803481,12.009865891644587,23.03749609387207,0.008006249837240855
1.5,25.806397624002788,0.007979655943878828,12.007752974658986,23.074968753906017,0.008012498697957357
2.0,25.750840217444285,0.0079746746316723,12.007022796953263,23.112394560909113,0.00801874560577773
2.5,25.697000671875873,0.007969664494975997,12.007778554120446,23.149750124970243,0.00802498958463534
3.0,25.643953989758714,0.007964731806465952,12.008100739882645,23.18701210007784,0.008031229658921191
3.5,25.58906569208734,0.007959796809367554,12.007299689982876,23.224157198710397,0.008037464853636371
4.0,25.536057253729467,0.007954899004619438,12.008106191049254,23.261162206390395,0.008043694194544393
4.5,25.4864759635722,0.007950035304352121,12.009598240444143,23.29800399619259,0.008049916708323415
5.0,25.43868555189813,0.007945179283125249,12.010389574997436,23.334659543197617,0.008056131422718315
5.5,25.383802771996443,0.007940344244373534,12.00727862633496,23.371105938881783,0.008062337366692615
6.0,25.327839782684762,0.007935560069009018,12.006776084422528,23.40732040543417,0.008068533570580193
6.5,25.274344687561427,0.007930774686242674,12.007857990797733,23.44328030999201,0.0080747190662368
7.0,25.21991105863071,0.00792600597554112,12.00744163762917,23.478963178785502,0.008080892887191323
7.5,25.174081655349827,0.007921262884768654,12.011225177357014,23.514346711183176,0.008087054068796798
8.0,25.121216439746206,0.007916571757138998,12.008118540559014,23.54940879362907,0.008093201648381135
8.5,25.069122028763847,0.007911892558898485,12.008445671331557,23.584127513462974,0.00809933466539753
9.0,25.014564875187485,0.007907236151413163,12.007349296985351,23.618481172615137,0.008105452161574553
9.5,24.962173545591497,0.007902618272582268,12.008289873437311,23.652448301166846,0.008111553181065873
10.0,24.911203328583607,0.007898047563451973,12.008906192911294,23.686007670768433,0.008117636770599604
10.5,24.861299007408114,0.007893496761427159,12.00937539676849,23.719138307906306,0.008123701979627262
11.0,24.814269570315943,0.007888955700552418,12.010653966036791,23.751819507010698,0.008129747860472273
11.5,24.763425111046683,0.007884432374817073,12.008957443304013,23.78403084339599,0.008135773468478057
12.0,24.71627052870347,0.007888573357510253,12.01055014147548,23.815752186025463,0.00814177786215562
12.5,24.66257282906076,0.00789403289122759,12.007582315901173,23.846963710092552,0.00814776010333067
13.0,24.614340249759344,0.00789946527869475,12.009957845475078,23.877645909410692,0.008153719257290191
13.5,24.561418250005435,0.00790486235316323,12.007815489990517,23.90777960860406,0.008159654392928501
14.0,24.51147569737327,0.00791026579455639,12.00907388761543,23.93734597509155,0.00816556458289273
14.5,24.458024621894833,0.007915629845482794,12.007450884476437,23.966326530856538,0.008171448903727726
15.0,24.40811605398677,0.007920941696535132,12.008987105495136,23.994703163995023,0.008177306436020325
15.5,24.36216175528233,0.007926278283083283,12.010697188854225,24.022458140035003,0.008183136264543023
16.0,24.315618892334623,0.007931585306420918,12.010060618552382,24.049574113019904,0.008188937478396979
16.5,24.270355576225413,0.007936779673173097,12.006518752603121,24.076034136349286,0.008194709171154325
17.0,24.246526474215695,0.007941887337609059,12.009474183436978,24.10182167336987,0.008200450440999815
17.5,24.23108094195153,0.007946930074012619,12.007254411037863,24.12692060771044,0.008206160390871712
18.0,24.2246656982624,0.007951909850318635,12.005821556158853,24.151315253354042,0.008211838128601968
18.5,24.233357693604923,0.00795687369732909,17.6020768300705,24.174990364441225,0.008217482767055615
19.0,24.244212001848016,0.007961814596796669,20.051862080706066,24.197931144798222,0.008223093424269376
19.5,24.257467259190864,0.007966731544853483,21.467381106095917,24.22012325718406,0.008228669223589478
20.0,24.273004294755115,0.00797161427420905,22.045615891428803,24.241552832250886,0.008234209293808619
20.5,24.29459268050321,0.007976537840924924,22.17525662045126,24.262206477211844,0.008239712769302101
21.0,24.309711308005756,0.007981401998648505,22.056018886650428,24.282071284211142,0.008245178790163074
21.5,24.335445965086485,0.007986257698736178,21.743390584233236,24.301134838391025,0.008250606502336898
22.0,24.360107842993717,0.00799113378919046,21.357919987558688,24.319385225650684,0.008255995057754591
22.5,24.38285228249896,0.007996047315855742,13.150863626028713,24.336811040092154,0.00826134361446533
23.0,24.404514102947623,0.008000914484344802,12.001120804686407,24.353401391148644,0.008266651336768011
23.5,24.41845531862158,0.008005787442257165,12.000963627716317,24.36914591039078,0.008271917395341822
24.0,24.432903338661045,0.008010672569348055,12.001144038418767,24.38403475800655,0.008277140967375826
24.5,24.445311652039507,0.008015521295098095,12.001122218829712,24.39805862895084,0.008282321236697518
25.0,24.463582918761674,0.008020390491577921,12.001512748504071,24.411208758760807,0.008287457393900358
25.5,24.479749469314317,0.00802524129923014,12.001557873145202,24.42347692903338,0.008292548636470231
26.0,24.496867579605713,0.008030089193358169,12.00194118633147,24.43485547256148,0.008297594168910846
26.5,24.508964945624335,0.008034966138291206,12.001937659094008,24.44533727812579,0.00830259320286802
27.0,24.52439852231321,0.008039794032729685,12.002634983433895,24.45491579493903,0.00830754495725287
27.5,24.53491056897652,0.008044638714869615,12.00256991333261,24.46358503673999,0.00831244865836385
28.0,24.546755140546892,0.008049467009200433,12.003137896730028,24.471339585534732,0.008317303540007636
28.5,24.55136314155681,0.008054271959892383,12.002583303164945,24.47817459498269,0.008322108843618847
29.0,24.559193064663408,0.0080590995442378,12.003244502196385,24.484085793425443,0.00832686381837857
29.5,24.570070778700252,0.008063886088502883,12.003996888918337,24.48906948655638,0.008331567721331675
